"","Predictor","Marginalized error","Model error","Relative change","Z-value"
"5","timeSince",0.245,0.2396,0.023,8.401
"26","SGRQ_symptoms",0.241,0.2396,0.006,4.434
"24","trtgroup",0.2404,0.2396,0.003,2.89
"90","genhealth",0.2404,0.2396,0.003,3.513
"120","gen_health_z_score",0.2404,0.2396,0.003,3.106
"11","gender",0.2403,0.2396,0.003,2.691
"14","hosp1yr",0.2402,0.2396,0.003,2.812
"119","pain_z_score",0.2401,0.2396,0.002,3.504
"89","pain",0.24,0.2396,0.002,3.426
"94","LEU_",0.24,0.2396,0.002,2.326
"6","experiencedSevere",0.2398,0.2396,0.001,3.754
"21","phlegm",0.2398,0.2396,0.001,2.403
"23","ster1yr",0.2398,0.2396,0.001,2.177
"93","oxygen_use",0.2398,0.2396,0.001,1.811
"133","icslabalama",0.2398,0.2396,0.001,2.605
"9","bronchitis",0.2397,0.2396,0.001,2.149
"16","nowsmk",0.2397,0.2396,0,1.721
"20","packyears",0.2397,0.2396,0,0.445
"74","seen_mental_health_provider_dep_anx",0.2397,0.2396,0.001,1.545
"78","ics",0.2397,0.2396,0,2.158
"79","laba",0.2397,0.2396,0.001,2.597
"80","lama",0.2397,0.2396,0,1.425
"111","anti_coags",0.2397,0.2396,0.001,1.275
"126","on_laba_lama_ics",0.2397,0.2396,0,2.385
"1","pseudoEst",0.2396,0.2396,0,-0.863
"3","checkIn",0.2396,0.2396,0,0.562
"7","asian",0.2396,0.2396,0,-0.863
"8","black",0.2396,0.2396,0,-0.495
"10","clinic",0.2396,0.2396,0,0.409
"13","hispanic",0.2396,0.2396,0,-0.863
"15","native",0.2396,0.2396,0,-0.863
"17","otherrace",0.2396,0.2396,0,-0.863
"19","pacific",0.2396,0.2396,0,-0.863
"22","season",0.2396,0.2396,0,1.406
"25","white",0.2396,0.2396,0,-0.59
"30","sleep_quality_subjective",0.2396,0.2396,0,-0.359
"32","sleep_duration",0.2396,0.2396,0,-0.375
"33","sleep_medication",0.2396,0.2396,0,0.48
"34","sleep_efficiency",0.2396,0.2396,0,0.153
"36","sleep_dysfunction",0.2396,0.2396,0,1.443
"37","bedtime_hours",0.2396,0.2396,0,0.258
"38","bedtime_minutes",0.2396,0.2396,0,-0.001
"39","FALLMN_N242_C",0.2396,0.2396,0,-0.204
"41","get_up_time_minutes",0.2396,0.2396,0,0.938
"42","actual_hours_sleep",0.2396,0.2396,0,-0.214
"43","fails_sleep_in_30min",0.2396,0.2396,0,0
"44","wakeup_mid_night",0.2396,0.2396,0,-0.646
"45","get_up_bathroom",0.2396,0.2396,0,-0.258
"46","breathing_discomfort",0.2396,0.2396,0,0.948
"48","too_cold_sleep",0.2396,0.2396,0,0.305
"49","too_hot_sleep",0.2396,0.2396,0,0.223
"50","bad_dreams",0.2396,0.2396,0,-1.224
"51","have_pain",0.2396,0.2396,0,0.623
"52","past_month_medication",0.2396,0.2396,0,-0.853
"53","trouble_waking",0.2396,0.2396,0,-1.136
"54","enthusiastic_issues",0.2396,0.2396,0,0.55
"56","time_bedtime_qs_asked",0.2396,0.2396,0,-1.004
"57","time_wakeup_qs_asked",0.2396,0.2396,0,-0.863
"59","depression_HADS",0.2396,0.2396,0,-0.645
"60","TENSE_N241_C",0.2396,0.2396,0,-0.259
"62","AWFUL_N241_C",0.2396,0.2396,0,-0.721
"63","still_laughs",0.2396,0.2396,0,-1.035
"64","worries",0.2396,0.2396,0,-0.678
"66","can_feel_relaxed",0.2396,0.2396,0,0.579
"67","feels_slowed_down",0.2396,0.2396,0,1.5
"68","feels_butterfly_fright",0.2396,0.2396,0,1.172
"69","no_interest_in_appearance",0.2396,0.2396,0,0.641
"71","looks_forward",0.2396,0.2396,0,-1.079
"72","sudden_feelings_panic",0.2396,0.2396,0,0.078
"81","advair_symbircort",0.2396,0.2396,0,1.967
"85","roleemo",0.2396,0.2396,0,-0.071
"86","energy",0.2396,0.2396,0,0.832
"92","theophylline_use",0.2396,0.2396,0,1.07
"95","proton_pump_inhibitors",0.2396,0.2396,0,0.003
"96","h2_blockers",0.2396,0.2396,0,-1.42
"101","arb_use",0.2396,0.2396,0,0.059
"102","beta_blocker_use",0.2396,0.2396,0,0.531
"103","beta_blocker_non_selective",0.2396,0.2396,0,-0.863
"104","beta_blocker_selective",0.2396,0.2396,0,-0.05
"106","anti_arrythmics",0.2396,0.2396,0,-0.863
"107","statins",0.2396,0.2396,0,0.198
"108","diuretics",0.2396,0.2396,0,-0.671
"109","misc_baseline_meds",0.2396,0.2396,0,-0.863
"110","vasodilator_use",0.2396,0.2396,0,-2.319
"112","other_chol_reducers",0.2396,0.2396,0,0.373
"113","digitalis",0.2396,0.2396,0,-0.528
"114","ASP",0.2396,0.2396,0,-0.455
"116","statin",0.2396,0.2396,0,0.728
"121","energy_z_score",0.2396,0.2396,0,1.254
"122","social_z_score",0.2396,0.2396,0,-0.117
"123","emotional_z_score",0.2396,0.2396,0,-0.142
"124","mental_health_z_score",0.2396,0.2396,0,-0.346
"127","icsonly",0.2396,0.2396,0,-1.49
"128","labaonly",0.2396,0.2396,0,-0.863
"129","lamaonly",0.2396,0.2396,0,-2.303
"130","icslaba",0.2396,0.2396,0,0.409
"131","icslama",0.2396,0.2396,0,-1.278
"132","labalama",0.2396,0.2396,0,0.245
"134","gold2",0.2396,0.2396,0,0.915
"135","gold1",0.2396,0.2396,0,-0.245
"136","sleep1",0.2396,0.2396,0,1.074
"137","panic4",0.2396,0.2396,0,-0.445
"2","X",0.2395,0.2396,0,-0.782
"4","age",0.2395,0.2396,0,0.067
"12","goldclass",0.2395,0.2396,0,-1.785
"18","oxygen",0.2395,0.2396,0,0.608
"29","sleep_quality_global",0.2395,0.2396,0,-0.627
"31","sleep_latency",0.2395,0.2396,0,-2.066
"35","sleep_disturbances",0.2395,0.2396,0,-1.255
"40","get_up_time_hours",0.2395,0.2396,0,-2.111
"47","loud_cough_snore",0.2395,0.2396,0,-1.282
"55","sleep_qual_overall",0.2395,0.2396,0,-1.311
"58","anxiety_HADS",0.2395,0.2396,0,-1.321
"61","still_enjoy_things",0.2395,0.2396,0,-1.974
"65","feels_cheerful",0.2395,0.2396,0,-1.06
"70","feels_restless",0.2395,0.2396,0,-0.259
"73","can_enjoy_entertainment",0.2395,0.2396,0,-1.871
"75","fev1_liters",0.2395,0.2396,0,1.09
"77","fev1_predicted_baseline",0.2395,0.2396,0,0.877
"83","physfunc",0.2395,0.2396,0,-1.183
"84","rolephys",0.2395,0.2396,0,-0.006
"87","emowell",0.2395,0.2396,0,-0.757
"88","socfunc",0.2395,0.2396,0,-1.293
"91","fev1fvcpct_",0.2395,0.2396,0,0.831
"97","FVC_post_bronchodilator",0.2395,0.2396,0,0.324
"99","POFEFM_",0.2395,0.2396,0,0.756
"100","ace_inibitors",0.2395,0.2396,0,-2.112
"105","CCB",0.2395,0.2396,0,-1.337
"118","role_phys_z_score",0.2395,0.2396,0,0.321
"27","SGRQ_activity",0.2394,0.2396,-0.001,-2.371
"28","SGRQ_impact",0.2394,0.2396,-0.001,-1.808
"76","fvc_liters",0.2394,0.2396,-0.001,-0.13
"98","FEF2575_post_bronchodilator",0.2394,0.2396,-0.001,-0.223
"115","hearmean",0.2394,0.2396,-0.001,-1.894
"117","physical_z_score",0.2394,0.2396,-0.001,-2.98
