"","Predictor","Marginalized error","Model error","Relative change","Z-value"
"5","timeSince",0.2449,0.2396,0.022,8.761
"26","SGRQ_symptoms",0.2409,0.2396,0.005,4.088
"120","gen_health_z_score",0.2407,0.2396,0.004,3.875
"90","genhealth",0.2406,0.2396,0.004,3.544
"24","trtgroup",0.2403,0.2396,0.003,2.513
"11","gender",0.2402,0.2396,0.002,1.98
"14","hosp1yr",0.2401,0.2396,0.002,2.575
"89","pain",0.2401,0.2396,0.002,3.637
"119","pain_z_score",0.2401,0.2396,0.002,3.936
"21","phlegm",0.24,0.2396,0.001,2.725
"94","LEU_",0.24,0.2396,0.002,2.721
"6","experiencedSevere",0.2399,0.2396,0.001,4.405
"93","oxygen_use",0.2399,0.2396,0.001,1.91
"9","bronchitis",0.2398,0.2396,0.001,2.491
"23","ster1yr",0.2398,0.2396,0.001,1.722
"74","seen_mental_health_provider_dep_anx",0.2398,0.2396,0.001,1.34
"86","energy",0.2398,0.2396,0.001,2.315
"111","anti_coags",0.2398,0.2396,0.001,2.047
"10","clinic",0.2397,0.2396,0,1.09
"16","nowsmk",0.2397,0.2396,0,1.807
"18","oxygen",0.2397,0.2396,0,1.201
"32","sleep_duration",0.2397,0.2396,0,0.559
"36","sleep_dysfunction",0.2397,0.2396,0,0.941
"40","get_up_time_hours",0.2397,0.2396,0,0.537
"43","fails_sleep_in_30min",0.2397,0.2396,0,0.04
"58","anxiety_HADS",0.2397,0.2396,0,0.928
"62","AWFUL_N241_C",0.2397,0.2396,0,1.377
"66","can_feel_relaxed",0.2397,0.2396,0,1.278
"68","feels_butterfly_fright",0.2397,0.2396,0,1.964
"77","fev1_predicted_baseline",0.2397,0.2396,0,1.685
"78","ics",0.2397,0.2396,0,2.462
"79","laba",0.2397,0.2396,0,1.161
"80","lama",0.2397,0.2396,0,1.259
"95","proton_pump_inhibitors",0.2397,0.2396,0,0.799
"108","diuretics",0.2397,0.2396,0,0.487
"116","statin",0.2397,0.2396,0,0.12
"121","energy_z_score",0.2397,0.2396,0,1.56
"123","emotional_z_score",0.2397,0.2396,0,0.54
"124","mental_health_z_score",0.2397,0.2396,0,-0.093
